table,record_id,primary_display,current_environment,recommended_environment,reason,confidence
Bookings,recwDObCAafiR3Cv3,55 18:00–19:00 | Anna Müller | Combination Massage | ZAHİDE,Test,Test,Record contains TEST/QA,High
Bookings,recyH3Zg2pbuXIoo0,101 15:30–16:30 | Baran Başhasanoğlu  | Klasik Masaj | ŞORENA,Archive,Archive,Do Not Use marker,High
Bookings,recyHKtgnVO3Vbv2N,57 15:00–16:00 | Anna Müller | Deep Tissue Massage | ARZU,Test,Test,Record contains TEST/QA,High
Bookings,recyIQ0bEcr45yhZi,38 09:00–10:00 | TEST Paket Misafir | Klasik Masaj | ŞORENA,Test,Test,Record contains TEST/QA,High
Client_Packages,rec8DCIEzKhOHoJZ5,Ali Işık — 10 Seans Klasik Masaj,Test,Test,Record contains TEST/QA,High
Client_Packages,recB30gn1RzuI266w,TEST — Package Expiry — Do Not Use,Archive,Archive,Do Not Use marker,High
Client_Packages,recOWojzSTXX0Bphl,Latif Işık — Deep Tissue 5 Sessions,Test,Test,Record contains TEST/QA,High
Client_Packages,recr0upeJiG7ZSIAW,Test Client — Relax Program,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,rec07qjXDXv1avgHN,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,rec3Lk1S8BQghUepn,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,rec40BE7FKR6MggzR,PUL-0001 — Elena Rossi — Relax Program,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,rec6O7RKs53SDWxUP,TEST-NOSHOW-001,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,rec7BlRfTqhQN8RBd,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,rec7mRHLxchbQF9q4,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recBJAj6o9T72w2yJ,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recESZiSq02lx3oK6,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recJuWupPTKmGr90Y,TEST-BOOKING-62,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recLnpKDExVk9Vsqn,TEST-ALI-1-SEANS-2026-06-14,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recOoYcOEFj9vVMwk,101,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recQYJ0ktNLCXb2dy,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recRKan2iMeMBHZCV,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recRmRfpTdiEd7qxQ,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recS5aK0d7VAQEDPV,TEST-PUL-BOOKING-96-LATIF-2026-06-16,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recTMPzMgwcsaE37l,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recdIETlIH2R7SDWY,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recdqh7bRixS985rQ,TEST-USED-001,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recfjje4CZSoWNUZo,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recgcThefA4vCI8Ev,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recgiLr5efO7bYFQH,Kontrol Et,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recgpCsqcTaBpShwV,AUTO-MANUAL-TEST-rect02M5DshQp7EMH,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,rechcQgSYUlmeo3AZ,TEST-CANCEL-001,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,reciYM4OVEuYCiMwb,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recoFWIiTX6cdjq9m,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recomBa9PPbd8rawS,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recpMLPQM6zUM4hHp,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recrC6dNKw4HnblyW,TEST-BKG-LEDGER-001,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,recsA0dHhjOFQQUpH,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Package_Usage_Ledger,rectUWvKIIHACV2SJ,AUTO — Created from Booking automation,Test,Test,Record contains TEST/QA,High
Payments,rec8NfqQyodQ7xTS8,PAY-BKG-260609-26 — QA/Test,Test,Test,Record contains TEST/QA,High
Payments,recCcqs2cnR3YeEyl,PAY-Booking-105-Podgorica-Test,Test,Test,Record contains TEST/QA,High
Payments,recJ7uKGEOcIIgCKG,PAY-BOOKING-3 — Anna Müller — Deep Tissue Massage,Test,Test,Record contains TEST/QA,High
Payments,recOBqMrV1npdiUfa,PAY-BKG-260609-30 — QA/Test,Test,Test,Record contains TEST/QA,High
Payments,recOt5Bj4UwSwuNec,LEGACY-BRIDGE-PAY-Booking-59-Budva,Archive,Archive,Legacy bridge / Go-Live marker,High
Payments,recRtnjgj5Kc46cgv,PAY-GOLIVE-BOOKING-95-2026-06-17,Archive,Archive,Legacy bridge / Go-Live marker,High
Payments,recStxhOQMj4nld43,PAY-BKG-260609-25 — QA/Test,Test,Test,Record contains TEST/QA,High
Payments,recSz3P7rLZOZpfrI,PAY-BKG-260609-32 — QA/Test No-show,Test,Test,Record contains TEST/QA,High
Payments,recYhq6hP71zCCpN8,PAY-BKG-260608-20 — Mehmet Öz — Live,Test,Test,Record contains TEST/QA,High
Payments,recZRAFhQlvHVnjPT,LEGACY-BRIDGE-PAY-Booking-81-Budva,Archive,Archive,Legacy bridge / Go-Live marker,High
Payments,recch5xtL9AAlahRu,PAY-GOLIVE-BOOKING-28-2026-06-17,Archive,Archive,Legacy bridge / Go-Live marker,High
Payments,reccyByXhlHWxUmlR,PAY-BKG-260609-27 — QA/Test Conflict,Test,Test,Record contains TEST/QA,High
Payments,recdkqGhmOvM1ndhh,PAY-BKG-260609-29 — QA/Test Completed,Test,Test,Record contains TEST/QA,High
Payments,recg5nIe6xawAsE4W,PAY-BOOKING-3 — Anna Müller — Deep Tissue Massage,Archive,Archive,No change needed,High
